,1,2,3,4,5
0,22979.26,22982.0,22979.05,22982.0,0.291096
1,22982.0,22984.39,22982.0,22984.39,0.112686
2,22984.5,22984.81,22984.5,22984.81,0.083814
3,22984.81,22984.81,22984.81,22984.81,0.0
4,22984.81,22984.81,22984.81,22984.81,0.0
5,22984.88,22984.88,22984.88,22984.88,0.1823
6,22984.88,22984.88,22984.27,22984.27,0.168384
7,22984.88,22984.88,22984.27,22984.27,0.030764
8,22983.41,22983.44,22983.41,22983.44,0.142588
9,22984.2,22984.2,22984.2,22984.2,0.160544
10,22984.64,22984.64,22984.64,22984.64,0.000924
11,22984.92,22985.06,22984.92,22985.06,0.200993
12,22985.06,22985.4,22985.06,22985.4,0.157487
13,22985.4,22985.48,22985.4,22985.48,0.239714
14,22985.53,22985.71,22985.53,22985.71,0.171403
15,22985.7,22985.71,22985.7,22985.71,0.101349
16,22985.71,22985.71,22985.71,22985.71,0.0
17,22985.71,22985.71,22985.71,22985.71,0.0
18,22985.73,22985.85,22985.73,22985.85,0.152259
19,22985.85,22986.32,22985.85,22986.32,0.193154
20,22986.32,22986.87,22985.3,22985.3,0.248409
21,22985.3,22985.3,22985.3,22985.3,0.0
22,22986.62,22986.62,22986.62,22986.62,0.19999
23,22986.4,22986.87,22986.4,22986.87,0.076289
24,22987.15,22987.2,22987.15,22987.2,0.214897
25,22987.2,22987.2,22987.2,22987.2,0.0
26,22987.2,22987.2,22987.2,22987.2,0.0
27,22987.2,22987.2,22987.2,22987.2,0.0
28,22987.2,22987.2,22987.2,22987.2,0.0
29,22987.2,22987.2,22987.2,22987.2,0.0
30,22986.27,22986.27,22986.05,22986.05,0.181418
31,22986.27,22986.27,22986.02,22986.02,0.154031
32,22986.27,22986.27,22985.16,22985.16,0.200589
33,22986.27,22986.27,22984.98,22984.98,0.174487
34,22986.27,22986.27,22982.52,22982.52,0.002463
35,22982.39,22982.39,22981.91,22981.91,0.161156
36,22982.34,22982.34,22982.34,22982.34,0.001463
37,22982.34,22982.34,22982.34,22982.34,0.0
38,22981.31,22981.31,22981.31,22981.31,0.001463
39,22980.93,22980.93,22980.3,22980.3,0.074412
40,22980.52,22980.52,22980.12,22980.12,0.002461
41,22979.87,22979.87,22978.36,22978.36,0.082132
42,22978.36,22978.36,22977.96,22977.96,0.125338
43,22977.96,22978.46,22977.96,22978.46,0.194277
44,22978.91,22978.91,22978.91,22978.91,0.115759
45,22979.89,22980.1,22979.89,22980.1,0.206692
46,22978.92,22978.92,22978.92,22978.92,0.001
47,22980.05,22980.05,22980.05,22980.05,0.001
48,22980.05,22980.05,22980.05,22980.05,0.0
49,22980.05,22980.05,22980.05,22980.05,0.0
50,22978.65,22978.65,22978.29,22978.29,0.178436
51,22978.65,22978.65,22977.38,22977.38,0.209786
52,22978.65,22978.65,22977.24,22977.24,0.17846
53,22979.23,22979.28,22977.24,22977.24,0.352873
54,22978.65,22978.65,22977.06,22977.06,0.224184
55,22978.65,22978.65,22976.5,22976.5,0.185887
56,22978.65,22978.65,22975.28,22975.28,0.186758
57,22978.65,22978.65,22974.85,22974.85,0.173395
58,22978.65,22978.65,22972.75,22972.75,0.188076
59,22978.65,22978.65,22972.75,22972.75,0.009243
60,22970.89,22971.85,22970.89,22971.85,0.214295
61,22971.85,22971.85,22971.85,22971.85,0.0
62,22971.85,22971.85,22971.85,22971.85,0.0
63,22973.8,22974.82,22973.8,22974.82,0.130481
64,22974.82,22974.82,22974.82,22974.82,0.0
65,22974.52,22974.74,22974.52,22974.74,0.226327
66,22974.74,22975.23,22974.74,22975.23,0.185464
67,22976.51,22976.51,22976.51,22976.51,0.088787
68,22976.79,22976.83,22976.79,22976.83,0.228926
69,22976.94,22976.94,22976.33,22976.33,0.212406
70,22976.33,22976.33,22975.58,22975.58,0.162358
71,22973.8,22973.8,22973.79,22973.79,0.143898
72,22973.67,22973.67,22973.67,22973.67,0.001463
73,22972.96,22972.96,22971.46,22971.49,0.118706
74,22971.49,22971.49,22971.49,22971.49,0.001463
75,22971.49,22971.49,22971.49,22971.49,0.0
76,22971.49,22971.49,22971.49,22971.49,0.0
77,22970.7,22970.7,22970.7,22970.7,0.384867
78,22970.7,22970.7,22970.64,22970.64,0.204197
79,22970.7,22970.7,22969.7,22969.7,0.096472
80,22968.68,22968.68,22968.68,22968.68,0.001463
81,22968.12,22968.12,22966.85,22966.85,0.193762
82,22966.2,22966.2,22965.72,22965.72,0.002463
83,22964.7,22964.7,22964.7,22964.7,0.001463
84,22964.68,22964.99,22964.68,22964.99,0.1646
85,22964.99,22964.99,22964.99,22964.99,0.0
86,22964.99,22964.99,22964.99,22964.99,0.0
87,22965.02,22965.37,22965.02,22965.37,0.218582
88,22965.37,22965.37,22965.37,22965.37,0.0
89,22966.37,22966.37,22966.37,22966.37,0.19999
90,22966.16,22966.16,22966.16,22966.16,0.171992
91,22966.16,22966.16,22966.16,22966.16,0.0
92,22966.16,22966.16,22966.16,22966.16,0.0
93,22966.83,22967.11,22966.83,22967.11,0.20289
94,22967.11,22967.11,22967.11,22967.11,0.175459
95,22967.11,22968.12,22967.11,22968.12,0.148746
96,22968.42,22968.42,22968.42,22968.42,0.168064
97,22966.95,22966.95,22966.42,22966.42,0.126852
98,22966.42,22966.42,22966.42,22966.42,0.0
99,22966.58,22966.58,22966.58,22966.58,0.071844
100,22966.58,22966.58,22966.58,22966.58,0.0
101,22966.58,22966.58,22966.58,22966.58,0.0
102,22966.47,22966.49,22966.47,22966.49,0.186356
103,22966.91,22967.74,22966.91,22967.74,0.228312
104,22968.19,22968.19,22968.19,22968.19,0.11447
105,22968.19,22968.19,22968.19,22968.19,0.0
106,22968.36,22968.36,22968.36,22968.36,0.154571
107,22966.89,22966.89,22966.67,22966.67,0.002463
108,22967.39,22967.39,22967.39,22967.39,0.001
109,22966.92,22966.92,22966.92,22966.92,0.001
110,22966.92,22966.92,22966.92,22966.92,0.086953
111,22967.44,22967.44,22967.44,22967.44,0.094917
112,22967.44,22967.44,22967.44,22967.44,0.0
113,22967.54,22967.71,22967.54,22967.71,0.17024
114,22967.71,22967.92,22967.71,22967.92,0.185473
115,22968.68,22968.68,22968.68,22968.68,0.07532
116,22968.79,22968.82,22968.79,22968.82,0.179807
117,22968.82,22968.82,22968.82,22968.82,0.020901
118,22969.32,22969.38,22969.32,22969.38,0.190254
119,22969.38,22969.38,22969.38,22969.38,0.0
120,22969.71,22969.87,22969.71,22969.87,0.148008
121,22970.52,22971.5,22970.52,22971.5,0.158457
122,22971.5,22971.5,22971.5,22971.5,0.0
123,22970.35,22970.36,22970.35,22970.36,0.164992
124,22970.36,22970.36,22970.36,22970.36,0.0
125,22970.11,22970.12,22970.11,22970.12,0.187633
126,22970.12,22970.12,22970.12,22970.12,0.0
127,22970.12,22970.12,22970.12,22970.12,0.0
128,22969.74,22970.75,22969.74,22970.75,0.207223
129,22970.75,22970.75,22970.75,22970.75,0.0
130,22970.75,22970.75,22970.75,22970.75,0.0
131,22970.75,22970.75,22970.75,22970.75,0.0
132,22970.9,22970.94,22970.9,22970.94,0.212874
133,22970.94,22971.08,22970.94,22971.08,0.204585
134,22971.08,22972.11,22971.08,22972.11,0.214607
135,22972.11,22972.11,22972.11,22972.11,0.047451
136,22972.11,22972.11,22972.11,22972.11,0.0
137,22972.92,22973.36,22972.92,22973.36,0.150609
138,22973.51,22973.62,22973.51,22973.62,0.171503
139,22973.88,22973.88,22973.88,22973.88,0.111867
140,22973.88,22973.88,22973.88,22973.88,0.0
141,22973.88,22973.88,22973.88,22973.88,0.0
142,22973.84,22973.84,22973.84,22973.84,0.086182
143,22973.84,22973.84,22973.84,22973.84,0.0
144,22973.84,22973.84,22973.84,22973.84,0.0
145,22972.28,22972.28,22972.23,22972.23,0.184574
146,22972.23,22972.23,22972.23,22972.23,0.0
147,22972.53,22972.59,22972.53,22972.59,0.168897
148,22972.59,22972.59,22972.59,22972.59,0.0
149,22972.59,22972.59,22972.59,22972.59,0.0
150,22972.59,22972.59,22972.59,22972.59,0.0
151,22972.59,22972.59,22972.59,22972.59,0.0
152,22972.59,22972.59,22972.59,22972.59,0.0
153,22971.72,22971.72,22971.72,22971.72,0.080099
154,22971.72,22971.72,22971.72,22971.72,0.0
155,22972.26,22972.68,22972.26,22972.68,0.192833
156,22972.68,22972.68,22972.68,22972.68,0.0
157,22972.68,22972.68,22972.68,22972.68,0.0
158,22972.68,22972.68,22972.68,22972.68,0.0
159,22973.63,22973.72,22973.63,22973.72,0.158875
160,22973.99,22973.99,22973.99,22973.99,0.100984
161,22974.13,22974.61,22974.13,22974.61,0.210667
162,22974.61,22974.61,22974.61,22974.61,0.0
163,22974.89,22975.31,22974.89,22975.31,0.103339
164,22975.31,22975.31,22975.31,22975.31,0.0
165,22975.31,22975.31,22975.31,22975.31,0.0
166,22974.76,22974.76,22974.32,22974.32,0.172375
167,22974.32,22974.32,22974.32,22974.32,0.0
168,22974.32,22974.32,22974.32,22974.32,0.0
169,22974.3,22974.31,22974.3,22974.31,0.002
170,22974.37,22974.52,22974.37,22974.52,0.14233
171,22974.7,22974.86,22974.7,22974.86,0.246376
172,22975.32,22975.32,22975.32,22975.32,0.00062
173,22975.32,22975.32,22975.32,22975.32,0.0
174,22975.32,22975.59,22975.32,22975.59,0.203258
175,22975.59,22975.59,22975.59,22975.59,0.0
176,22974.98,22974.98,22974.94,22974.94,0.241579
177,22974.94,22974.94,22974.12,22974.12,0.189788
178,22973.85,22973.85,22973.81,22973.81,0.226352
179,22973.19,22973.19,22972.92,22972.92,0.084576
180,22972.92,22973.32,22972.92,22973.32,0.225472
181,22973.32,22973.32,22973.32,22973.32,0.0
182,22972.81,22972.81,22972.81,22972.81,0.098376
183,22973.32,22973.33,22973.32,22973.33,0.188035
184,22973.38,22975.4,22973.38,22975.4,0.201074
185,22975.4,22975.4,22975.4,22975.4,0.0
186,22976.9,22976.9,22976.9,22976.9,0.097054
187,22976.31,22976.31,22976.31,22976.31,0.10294
188,22976.31,22976.31,22976.31,22976.31,0.0
189,22976.31,22976.31,22976.31,22976.31,0.0
190,22975.7,22975.7,22975.7,22975.7,0.067463
191,22975.7,22975.7,22975.7,22975.7,0.0
192,22975.7,22975.7,22975.7,22975.7,0.0
193,22975.04,22975.04,22974.95,22974.95,0.183244
194,22974.95,22974.95,22974.95,22974.95,0.0
195,22974.15,22974.56,22974.15,22974.56,0.217631
196,22974.74,22974.74,22974.74,22974.74,0.008272
197,22975.33,22975.41,22975.33,22975.41,0.205867
198,22975.41,22975.41,22975.41,22975.41,0.0
199,22975.99,22975.99,22975.99,22975.99,0.07225
200,22975.99,22975.99,22975.99,22975.99,0.0
201,22975.99,22975.99,22975.99,22975.99,0.0
202,22975.99,22976.1,22975.99,22976.1,0.208478
203,22976.15,22976.15,22975.88,22975.88,0.159299
204,22975.88,22975.88,22975.46,22975.46,0.221978
205,22975.35,22975.35,22975.35,22975.35,0.10837
206,22974.91,22974.91,22974.91,22974.91,0.145812
207,22974.91,22974.91,22974.91,22974.91,0.0
208,22974.82,22974.95,22974.82,22974.95,0.205
209,22975.51,22975.77,22975.51,22975.77,0.196719
210,22975.77,22975.77,22975.77,22975.77,0.0
211,22975.77,22975.77,22975.77,22975.77,0.0
212,22975.77,22975.77,22975.77,22975.77,0.0
213,22975.77,22975.77,22975.77,22975.77,0.0
214,22975.77,22975.77,22975.77,22975.77,0.0
215,22975.25,22975.32,22975.25,22975.32,0.211526
216,22975.41,22975.89,22975.41,22975.89,0.193242
217,22975.89,22976.01,22975.89,22976.01,0.207601
218,22976.09,22976.4,22976.09,22976.4,0.161028
