,1,2,3,4,5
0,23773.26,26069.8,22797.61,23766.09,376.01176
1,23765.72,23935.65,21408.86,23840.52,1031.091455
2,23840.52,23931.33,10000.1,23893.84,706.362546
3,23894.05,24141.64,23730.24,23805.17,747.129577
4,23803.73,23988.42,23420.55,23467.72,757.594679
5,23456.83,23682.12,23392.11,23489.36,615.623109
6,23489.36,23588.31,23437.72,23554.89,586.375313
7,23554.89,23579.27,23412.3,23532.93,564.126837
8,23533.72,23560.96,23501.56,23523.23,478.052319
9,23523.68,23551.88,23448.71,23452.54,484.888389
10,23452.54,23472.05,23328.21,23420.99,561.225116
11,23420.99,23626.08,23310.2,23534.13,587.616342
12,23533.63,23649.44,23268.84,23343.75,641.148134
13,23343.11,23705.0,23113.51,23605.22,786.35421
14,23603.81,23712.52,10000.96,23508.31,712.83678
15,23506.87,23570.52,23351.52,23376.39,512.877567
16,23376.27,23408.5,23237.42,23379.42,588.927379
17,23379.53,23471.15,23378.97,23431.02,530.097713
18,23430.89,23461.72,10000.1,23374.03,504.355357
19,23374.01,23397.75,23332.78,23343.12,515.295826
20,23342.94,23357.72,23266.04,23312.78,515.049066
21,23312.41,23619.55,9000.0,23330.58,472.35561
22,23330.58,23357.64,23292.22,23340.31,427.296117
23,23340.47,23680.2,23331.56,23362.96,439.388864
24,23363.29,23680.2,23342.16,23503.73,560.155113
25,23503.84,23508.23,23300.0,23420.92,521.987497
26,23421.44,23461.9,23358.45,23439.95,557.503476
27,23439.51,23469.25,23405.75,23426.33,510.625
28,23426.37,23440.54,23377.78,23413.75,462.669925
29,23413.76,23448.39,22853.95,23327.63,489.72749
30,23326.64,23667.94,22236.89,23319.38,584.829112
31,23319.21,23346.66,22849.31,23342.91,454.21319
32,23343.34,23387.99,23327.66,23375.54,410.288053
33,23374.71,23425.59,8000.0,23376.67,439.552715
34,23377.35,23985.38,8000.0,23365.47,513.821959
35,23365.4,23985.38,23347.74,23356.74,549.165277
36,23356.35,23374.42,9000.0,23167.14,619.377716
37,23167.0,23209.69,23065.12,23096.91,654.628284
38,23097.2,23155.68,9000.0,22852.38,744.163038
39,22850.2,22945.48,22746.49,22892.07,690.737482
40,22890.78,22937.6,22773.82,22896.36,721.062819
41,22894.89,23029.63,22887.28,22931.15,622.628151
42,22931.47,23090.8,22922.08,22978.16,601.247069
43,22978.06,23002.62,22829.93,22895.11,566.996461
44,22895.07,22927.09,22635.8,22774.76,595.952053
45,22774.76,22885.73,22721.06,22879.85,554.942128
46,22879.85,22926.57,22816.75,22837.59,555.911089
47,22837.24,22892.42,22737.46,22878.59,606.805272
48,22878.47,22944.78,22721.19,22829.57,619.291798
49,22828.13,23047.13,22749.54,23041.14,693.901314
50,23042.0,23151.07,22929.59,23034.56,702.153324
51,23035.58,23741.82,21945.3,23030.15,741.34335
52,23030.7,23030.92,22907.12,22917.31,610.944121
53,22915.47,22925.39,22641.69,22761.49,661.290798
54,22761.84,23056.01,22746.83,22847.54,650.776575
55,22847.54,23054.38,22557.62,22876.43,670.31726
56,22873.2,22948.02,22864.6,22936.04,555.8383
57,22936.47,22984.44,22890.64,22911.68,456.872799
58,22910.12,23054.38,22864.45,23009.77,558.617175
59,23009.77,23058.43,22966.85,22977.9,550.657501
60,22977.08,23053.08,22547.87,22982.59,640.161239
61,22982.42,23083.6,22880.34,22905.07,721.455612
62,22904.89,23022.64,22873.73,22989.37,424.596508
