,1,2,3,4,5
0,22873.18,22877.64,22861.55,22861.55,12.488957
1,22860.83,22866.72,22825.5,22844.59,12.970735
2,22844.51,22853.58,22817.49,22838.96,18.000156
3,22839.36,22840.54,22783.48,22785.01,18.343102
4,22784.52,22785.37,22635.8,22712.26,20.948101
5,22714.81,22723.32,22643.04,22709.09,20.495492
6,22707.3,22738.74,22694.3,22738.74,19.916404
7,22739.23,22740.99,22721.49,22726.33,18.401936
8,22727.41,22745.01,22725.35,22743.05,15.11961
9,22742.92,22745.61,22730.65,22733.09,15.462526
10,22733.09,22737.66,22720.99,22732.64,14.496252
11,22732.64,22765.22,22732.64,22763.17,17.012855
12,22763.0,22774.93,22756.07,22767.62,14.769951
13,22768.17,22772.69,22755.02,22771.78,14.299061
14,22772.12,22774.76,22765.05,22774.76,14.009795
15,22774.76,22775.63,22757.99,22760.07,13.854452
16,22760.25,22764.5,22754.9,22754.9,13.898706
17,22754.12,22757.1,22742.52,22756.52,14.194279
18,22756.27,22761.65,22744.52,22751.3,12.50966
19,22751.3,22751.3,22734.1,22734.22,13.434611
20,22734.06,22734.55,22721.06,22727.72,13.022928
21,22728.34,22740.55,22722.12,22740.55,14.436465
22,22742.25,22769.45,22742.25,22759.27,15.322962
23,22759.83,22781.89,22759.83,22774.37,15.844098
24,22773.61,22784.3,22767.73,22784.3,15.534303
25,22786.5,22787.72,22760.03,22761.75,12.509482
26,22761.46,22764.34,22754.38,22756.92,13.765688
27,22757.27,22760.32,22745.81,22746.89,13.555366
28,22746.4,22765.59,22746.06,22765.59,14.382006
29,22765.59,22792.55,22765.59,22792.55,12.783235
30,22792.21,22792.21,22780.92,22790.14,13.19648
31,22790.45,22797.09,22787.16,22793.5,13.514514
32,22794.11,22799.66,22789.21,22789.21,13.742096
33,22788.72,22789.86,22783.72,22785.62,10.657515
34,22786.0,22788.85,22780.66,22781.69,10.352179
35,22781.69,22787.35,22771.7,22771.78,11.237827
36,22772.29,22778.16,22757.06,22758.98,12.88735
37,22759.95,22783.56,22755.52,22768.97,14.590681
38,22768.97,22784.68,22768.67,22784.68,15.919894
39,22784.68,22798.84,22783.42,22798.49,11.443833
40,22799.08,22805.55,22798.49,22805.55,20.165744
41,22805.19,22807.27,22799.34,22803.26,11.459498
42,22802.66,22833.15,22801.13,22825.32,15.094818
43,22825.0,22837.23,22822.56,22832.53,21.549958
44,22832.43,22839.49,22828.23,22828.23,15.053911
45,22826.74,22830.02,22818.12,22829.87,13.26268
46,22829.79,22845.9,22828.68,22843.13,12.750541
47,22842.66,22854.95,22832.33,22840.99,13.63732
48,22841.59,22854.1,22838.05,22848.9,15.792019
49,22849.11,22850.1,22841.49,22846.96,10.45143
50,22846.94,22852.49,22842.12,22845.88,12.736342
51,22845.43,22868.07,22842.05,22867.07,14.030421
52,22867.25,22873.29,22862.43,22873.29,14.18958
53,22873.66,22885.73,22868.11,22868.11,13.948349
54,22868.08,22880.64,22864.95,22879.85,14.228907
55,22879.85,22893.72,22878.12,22893.03,15.117918
56,22893.03,22926.57,22884.22,22907.6,16.602312
57,22907.6,22908.59,22883.92,22886.37,16.113429
58,22885.72,22894.06,22882.11,22887.78,13.939774
59,22887.78,22904.77,22886.37,22896.34,15.174248
60,22896.39,22897.71,22878.21,22878.21,13.312948
61,22878.21,22881.32,22865.98,22869.24,11.882851
62,22869.27,22871.9,22856.13,22860.31,13.589057
63,22861.02,22867.97,22856.95,22858.21,12.321483
64,22858.92,22859.34,22841.85,22844.12,12.208475
65,22842.09,22887.66,22836.64,22873.57,15.071329
66,22873.13,22879.7,22867.5,22871.21,15.072763
67,22871.71,22876.09,22851.65,22851.65,12.977545
68,22848.89,22875.28,22848.89,22872.45,16.42716
69,22872.1,22884.79,22872.1,22883.55,12.616749
70,22883.64,22885.61,22874.92,22877.32,11.353024
71,22877.39,22880.67,22864.7,22872.29,12.910549
72,22871.48,22875.72,22856.15,22856.15,11.188876
73,22854.96,22863.61,22851.22,22857.22,14.338778
74,22857.34,22870.0,22854.21,22862.67,14.380165
75,22862.97,22867.14,22854.38,22864.52,13.205765
76,22865.52,22866.66,22861.77,22865.17,10.521055
77,22865.99,22872.43,22854.84,22854.84,13.046773
78,22855.03,22857.89,22850.05,22855.68,14.259724
79,22856.24,22862.63,22849.38,22851.83,11.650176
80,22852.31,22856.56,22843.57,22843.96,14.301609
81,22843.07,22848.83,22832.72,22848.83,12.192244
82,22848.57,22849.97,22820.07,22824.36,14.679918
83,22824.07,22827.37,22816.75,22820.33,25.122808
84,22820.33,22835.45,22819.99,22824.0,19.050433
85,22824.89,22840.92,22822.72,22836.93,13.920701
86,22836.83,22873.38,22835.91,22862.43,14.287816
87,22862.0,22871.11,22861.02,22861.58,12.231377
88,22862.26,22883.08,22860.85,22864.14,15.335133
89,22864.52,22865.79,22847.43,22847.43,12.185996
90,22843.84,22850.46,22843.84,22850.46,13.965292
91,22850.07,22850.13,22836.06,22840.52,10.781113
92,22840.94,22842.43,22829.72,22831.1,12.262302
93,22831.21,22835.39,22822.43,22827.24,13.76465
94,22826.92,22838.57,22826.92,22837.59,12.546771
95,22837.24,22839.56,22826.15,22826.52,9.899642
96,22826.52,22826.71,22819.95,22824.78,11.907629
97,22825.72,22842.1,22825.72,22837.32,14.298656
98,22837.64,22846.9,22834.35,22844.74,12.821867
99,22844.67,22854.02,22842.12,22854.01,11.446914
100,22853.33,22855.32,22839.08,22844.06,13.145446
101,22841.86,22852.43,22836.31,22851.86,12.594984
102,22851.96,22861.63,22851.76,22860.47,13.91002
103,22860.62,22869.32,22859.8,22860.39,13.300007
104,22859.67,22860.51,22847.55,22849.44,15.865378
105,22848.79,22856.12,22848.64,22849.93,22.149605
106,22849.93,22850.09,22833.14,22833.67,29.21862
107,22833.67,22833.67,22796.85,22812.27,17.207674
108,22811.61,22823.36,22805.32,22823.36,15.416542
109,22822.65,22831.93,22809.98,22825.31,14.873855
110,22824.87,22832.12,22821.25,22826.42,12.139778
111,22826.18,22828.76,22812.06,22820.36,14.628048
112,22821.17,22832.01,22820.3,22830.42,13.343532
113,22831.68,22841.87,22827.94,22838.9,22.859553
114,22838.92,22843.53,22833.34,22843.07,16.537424
